GEOID,County,Name,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area
6037101110,Los Angeles County - Census Tract 1011.10,Census Tract 1011.10,4731,1734,0.44,0,0.44
6037101122,Los Angeles County - Census Tract 1011.22,Census Tract 1011.22,3664,1369,1.02,0,1.02
6037101210,Los Angeles County - Census Tract 1012.10,Census Tract 1012.10,5990,2317,0.25,0,0.25
6037101220,Los Angeles County - Census Tract 1012.20,Census Tract 1012.20,3363,1317,0.27,0,0.27
6037101300,Los Angeles County - Census Tract 1013,Census Tract 1013,4199,1582,1,0,1
6037101400,Los Angeles County - Census Tract 1014,Census Tract 1014,3903,1568,2.44,0,2.44
6037102103,Los Angeles County - Census Tract 1021.03,Census Tract 1021.03,1740,680,0.46,0,0.46
6037102104,Los Angeles County - Census Tract 1021.04,Census Tract 1021.04,3648,1326,0.64,0,0.64
6037102105,Los Angeles County - Census Tract 1021.05,Census Tract 1021.05,1731,560,0.19,0,0.19
6037102107,Los Angeles County - Census Tract 1021.07,Census Tract 1021.07,3851,1326,4.99,0.01,4.98
6037103101,Los Angeles County - Census Tract 1031.01,Census Tract 1031.01,2670,948,0.78,0,0.78
6037103102,Los Angeles County - Census Tract 1031.02,Census Tract 1031.02,4751,1708,0.48,0,0.48
6037103200,Los Angeles County - Census Tract 1032,Census Tract 1032,6150,2285,2.86,0,2.86
6037103300,Los Angeles County - Census Tract 1033,Census Tract 1033,3819,1400,2.37,0,2.37
6037103400,Los Angeles County - Census Tract 1034,Census Tract 1034,6143,2484,0.97,0,0.97
6037104103,Los Angeles County - Census Tract 1041.03,Census Tract 1041.03,4085,842,0.37,0,0.37
6037104105,Los Angeles County - Census Tract 1041.05,Census Tract 1041.05,5412,1456,0.23,0,0.23
6037104108,Los Angeles County - Census Tract 1041.08,Census Tract 1041.08,5256,1346,0.42,0,0.42
6037104124,Los Angeles County - Census Tract 1041.24,Census Tract 1041.24,4175,1215,1.73,0,1.73
6037104201,Los Angeles County - Census Tract 1042.01,Census Tract 1042.01,4780,885,0.42,0,0.42
6037104203,Los Angeles County - Census Tract 1042.03,Census Tract 1042.03,5210,1158,0.27,0,0.27
6037104204,Los Angeles County - Census Tract 1042.04,Census Tract 1042.04,3375,753,1.03,0,1.03
6037104310,Los Angeles County - Census Tract 1043.10,Census Tract 1043.10,4921,931,0.58,0,0.58
6037104320,Los Angeles County - Census Tract 1043.20,Census Tract 1043.20,5998,1359,0.47,0,0.47
6037104401,Los Angeles County - Census Tract 1044.01,Census Tract 1044.01,3357,725,0.26,0,0.26
