"GEOID","pop_dens","race_white","race_minority","female","age_genz","age_millenial","age_genx","age_boomer","age_retiree","divsep","widowed","median_age","not_us_citizen","median_earnings","trav_cars","trav_trans","trav_motorcycle","trav_bike","trav_walk","trav_home","edu_lowedu","edu_hsged","edu_bs","edu_grad","unemp","below_pov","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36081049700",35675,1020,1834,1436,582,755,797,613,107,241,159,37.6,582,31145,527,809,0,0,137,0,151,870,482,53,73,274,"NYC",99,11,5,0,11,0
"36061001800",88788.8888888889,2384,5607,3252,651,2994,2246,1706,394,519,311,37.1,1646,41354,413,2349,0,217,998,588,470,1554,1948,394,317,1936,"NYC",2312,461,131,1,460,1
"36047012902",38160,1175,733,1006,299,738,535,307,29,86,27,33.7,216,54258,72,916,10,14,39,119,8,221,558,460,44,121,"NYC",611,140,38,0,140,0
"36061003800",105362.5,5724,2705,4559,237,4318,2202,1336,336,663,271,32.8,1254,48594,179,3252,0,202,1761,297,114,1016,2738,1814,265,1145,"NYC",907,167,74,1,165,2
"36061012700",95442.8571428571,3701,2980,2733,152,2587,2523,1328,91,648,241,40.9,776,51786,233,2373,0,198,1963,265,141,774,3075,1225,239,676,"NYC",1018,131,59,0,131,0
"36061012000",50057.1428571429,3081,423,2074,528,638,738,984,616,373,176,47.3,265,96701,106,565,0,0,642,275,19,231,1296,692,50,228,"NYC",883,140,53,2,138,2
"36081046500",66960,109,3239,1503,663,1237,899,392,157,247,118,31,1360,18456,303,1199,0,96,165,23,217,782,268,79,70,739,"NYC",248,45,10,0,45,0
"36047079601",115550,956,3666,2452,651,1666,1254,815,236,559,211,35,876,36381,284,2005,0,26,104,25,136,1554,749,383,278,684,"NYC",249,76,18,1,75,1
"36047056100",24307.6923076923,2351,809,1694,272,1443,794,522,129,177,124,33.1,381,43897,194,1454,0,127,126,89,30,501,1117,445,99,302,"NYC",610,88,23,0,88,0
"36047004700",16476.9230769231,1172,970,1106,542,481,836,192,91,126,38,36.3,179,71290,218,699,13,30,60,75,65,247,514,411,167,155,"NYC",1061,286,6,0,286,0
"36005005002",142175,35,5652,2869,1661,1803,1477,663,83,487,117,30,2399,17398,261,1817,0,30,280,51,187,1147,206,48,365,2482,"NYC",228,57,24,0,57,0
"36081099705",14688.2352941176,1455,1042,1183,508,437,706,630,216,119,115,45.1,267,58971,704,360,0,0,4,68,60,375,502,279,91,178,"NYC",565,138,1,1,137,1
"36061003700",16643.75,2129,534,1403,438,603,921,442,259,173,137,41.9,375,103032,125,847,0,50,385,136,21,331,820,522,85,157,"NYC",1858,314,91,0,314,0
"36061011700",56485.7142857143,1957,1997,2057,488,1554,1341,557,14,504,52,33.9,954,78897,223,1606,0,118,707,101,13,563,1380,916,228,390,"NYC",1808,152,21,1,150,2
"36085016901",10135.4838709677,2360,782,1636,691,717,874,584,276,255,173,39.8,362,41875,852,518,0,6,37,25,115,756,439,265,112,286,"NYC",1141,251,28,0,250,1
