"GEOID","pop","race_white","race_black","race_native","race_asian","race_hawaiian","race_other","race_twoplus","race_hispanic","male","female","age_under5","age_5t17","age_18t24","age_25t34","age_35t44","age_45t54","age_55t59","age_60t61","age_62t64","age_65t74","age_75plus","never_married","married","divorced","separated","widowed","median_age","not_us_citizen","median_earnings","trav_cars","trav_alone","trav_carpool","trav_pub","trav_taxi","trav_motorcycle","trav_bike","trav_walk","trav_home","unmarried_household","soc_benefits","house_family","house_nonfamily","house_group","edu_none","edu_some_hs","edu_hs","edu_ged","edu_some_bs","edu_bs","edu_ms","edu_phd","unemp","below_pov","ir_10","ir_19","ir_20","no_cars","house_income","gini"
"36081049700",2854,1020,26,0,1069,0,0,101,638,1418,1436,142,440,252,503,386,411,256,46,80,231,107,863,1148,175,66,159,37.6,582,31145,527,453,74,809,0,0,0,137,0,0,93,2833,443,21,75,76,543,90,237,482,53,0,73,274,55,191,310,277,58188,0.5132
"36061001800",7991,2384,373,0,4402,0,15,170,647,4739,3252,170,481,1230,1764,1223,1023,638,154,291,623,394,4134,2431,500,19,311,37.1,1646,41354,413,340,73,2309,40,0,217,998,588,0,316,7381,3004,610,331,139,947,195,412,1948,381,13,317,1936,205,204,238,2731,61750,0.5063
"36047012902",1908,1175,165,0,93,0,14,54,407,902,1006,109,190,96,642,354,181,103,63,73,68,29,721,789,58,28,27,33.7,216,54258,72,72,0,916,0,10,14,39,119,6,42,1895,607,13,5,3,128,28,65,558,433,27,44,121,14,19,260,520,105625,0.4646
"36061003800",8429,5724,366,5,1056,0,0,140,1138,3870,4559,35,202,1214,3104,1193,1009,199,50,441,646,336,5635,1709,538,125,271,32.8,1254,48594,179,108,71,3059,193,0,202,1761,297,27,0,7967,5607,462,114,0,439,133,444,2738,1671,143,265,1145,0,67,151,4112,60450,0.524
"36061012700",6681,3701,219,0,964,0,49,72,1676,3948,2733,0,152,608,1979,962,1561,676,151,37,464,91,4425,1319,486,162,241,40.9,776,51786,233,186,47,2262,111,0,198,1963,265,0,152,6539,4286,142,18,123,370,8,396,3075,1104,121,239,676,0,38,0,3232,71772,0.4599
"36061012000",3504,3081,103,0,155,0,0,0,165,1430,2074,368,160,138,500,483,255,155,125,84,620,616,744,1702,312,61,176,47.3,265,96701,106,106,0,477,88,0,0,642,275,0,0,3400,1017,104,0,19,81,10,140,1296,600,92,50,228,0,0,528,1126,163417,0.5346
"36081046500",3348,109,0,0,597,0,0,0,2642,1845,1503,282,381,549,688,523,376,66,48,68,210,157,1110,1263,162,85,118,31,1360,18456,303,249,54,1185,14,0,96,165,23,73,261,3348,434,0,135,82,615,22,145,268,79,0,70,739,181,235,234,627,32391,0.4802
"36047079601",4622,956,2902,0,61,0,7,153,543,2170,2452,222,429,522,1144,666,588,251,84,197,283,236,2220,1068,315,244,211,35,876,36381,284,230,54,2005,0,0,26,104,25,18,120,4613,1316,9,48,88,818,44,692,749,336,47,278,684,59,148,444,1505,53289,0.4309
"36047056100",3160,2351,222,8,194,0,0,84,301,1466,1694,102,170,371,1072,477,317,216,52,48,206,129,1677,937,128,49,124,33.1,381,43897,194,177,17,1435,19,0,127,126,89,17,46,3160,1660,0,8,22,296,50,155,1117,426,19,99,302,16,110,146,1007,78071,0.4219
"36047004700",2142,1172,311,0,130,0,9,99,421,1036,1106,278,264,66,415,531,305,84,27,29,52,91,543,922,72,54,38,36.3,179,71290,218,169,49,683,16,13,30,60,75,23,35,2142,345,0,15,50,130,19,98,514,378,33,167,155,34,36,466,399,108750,0.4717
