"City","GEOID","Collisions","CasualtiesCount","TotalInjuries","TotalDeaths","PedeCasualtiesCount","PedeInjuries","PedeDeaths","CyclCasualtiesCount","CyclInjuries","CyclDeaths","MotrCasualtiesCount","MotrInjuries","MotrDeaths"
"DC","11001000100",1460,286,286,0,42,42,0,33,33,0,211,211,0
"DC","11001000201",93,16,16,0,6,6,0,0,0,0,10,10,0
"DC","11001000202",1321,283,283,0,23,23,0,27,27,0,233,233,0
"DC","11001000300",340,49,48,1,8,8,0,4,4,0,37,36,1
"DC","11001000400",497,141,140,1,11,11,0,6,6,0,124,123,1
"DC","11001000501",406,91,91,0,9,9,0,6,6,0,76,76,0
"DC","11001000502",200,39,39,0,3,3,0,2,2,0,34,34,0
"DC","11001000600",548,145,145,0,15,15,0,6,6,0,124,124,0
"DC","11001000701",222,58,58,0,4,4,0,3,3,0,51,51,0
"DC","11001000702",98,21,21,0,3,3,0,1,1,0,17,17,0
"DC","11001000801",304,98,98,0,10,10,0,4,4,0,84,84,0
"DC","11001000802",282,84,84,0,6,6,0,4,4,0,74,74,0
"DC","11001000901",322,95,95,0,4,4,0,1,1,0,90,90,0
"DC","11001000902",206,59,59,0,4,4,0,1,1,0,54,54,0
"DC","11001001001",660,154,154,0,23,23,0,4,4,0,127,127,0
"DC","11001001002",416,83,83,0,9,9,0,3,3,0,71,71,0
"DC","11001001100",792,190,189,1,22,22,0,7,7,0,161,160,1
"DC","11001001200",602,145,145,0,18,18,0,2,2,0,125,125,0
"DC","11001001301",120,35,35,0,2,2,0,0,0,0,33,33,0
"DC","11001001302",529,149,149,0,5,5,0,4,4,0,140,140,0
"DC","11001001401",211,58,58,0,8,8,0,0,0,0,50,50,0
"DC","11001001402",270,91,91,0,4,4,0,1,1,0,86,86,0
"DC","11001001500",95,22,22,0,1,1,0,0,0,0,21,21,0
"DC","11001001600",463,163,163,0,5,5,0,3,3,0,155,155,0
"DC","11001001702",374,108,108,0,7,7,0,3,3,0,98,98,0
"DC","11001001803",277,79,79,0,5,5,0,0,0,0,74,74,0
"DC","11001001804",660,207,207,0,29,29,0,5,5,0,173,173,0
"DC","11001001901",550,145,145,0,7,7,0,6,6,0,132,132,0
"DC","11001001902",197,59,59,0,2,2,0,1,1,0,56,56,0
"DC","11001002001",316,87,86,1,3,3,0,3,3,0,81,80,1
"DC","11001002002",693,208,207,1,17,17,0,12,12,0,179,178,1
"DC","11001002101",591,159,158,1,21,20,1,15,15,0,123,123,0
"DC","11001002102",962,295,295,0,14,14,0,8,8,0,273,273,0
"DC","11001002201",312,90,89,1,9,9,0,7,7,0,74,73,1
"DC","11001002202",256,70,70,0,1,1,0,3,3,0,66,66,0
"DC","11001002301",202,75,75,0,6,6,0,4,4,0,65,65,0
"DC","11001002302",603,192,192,0,10,10,0,4,4,0,178,178,0
"DC","11001002400",465,145,145,0,18,18,0,13,13,0,114,114,0
"DC","11001002501",433,148,146,2,13,13,0,7,7,0,128,126,2
"DC","11001002502",793,222,222,0,29,29,0,28,28,0,165,165,0
"DC","11001002600",196,50,50,0,3,3,0,1,1,0,46,46,0
