"GEOID","City","STATE_x","COUNTY_x"
"36005000100","NYC","NY","Bronx"
"36005000200","NYC","NY","Bronx"
"36005000400","NYC","NY","Bronx"
"36005001600","NYC","NY","Bronx"
"36005001900","NYC","NY","Bronx"
"36005002000","NYC","NY","Bronx"
"36005002300","NYC","NY","Bronx"
"36005002400","NYC","NY","Bronx"
"36005002500","NYC","NY","Bronx"
"36005002701","NYC","NY","Bronx"
"36005002702","NYC","NY","Bronx"
"36005002800","NYC","NY","Bronx"
"36005003100","NYC","NY","Bronx"
"36005003300","NYC","NY","Bronx"
"36005003500","NYC","NY","Bronx"
"36005003700","NYC","NY","Bronx"
"36005003800","NYC","NY","Bronx"
"36005003900","NYC","NY","Bronx"
"36005004001","NYC","NY","Bronx"
"36005004100","NYC","NY","Bronx"
"36005004200","NYC","NY","Bronx"
"36005004300","NYC","NY","Bronx"
"36005004400","NYC","NY","Bronx"
"36005004600","NYC","NY","Bronx"
"36005004800","NYC","NY","Bronx"
"36005005001","NYC","NY","Bronx"
"36005005002","NYC","NY","Bronx"
"36005005100","NYC","NY","Bronx"
"36005005200","NYC","NY","Bronx"
"36005005300","NYC","NY","Bronx"
"36005005400","NYC","NY","Bronx"
"36005005600","NYC","NY","Bronx"
"36005005902","NYC","NY","Bronx"
"36005006000","NYC","NY","Bronx"
"36005006100","NYC","NY","Bronx"
"36005006200","NYC","NY","Bronx"
"36005006300","NYC","NY","Bronx"
"36005006400","NYC","NY","Bronx"
"36005006500","NYC","NY","Bronx"
"36005006700","NYC","NY","Bronx"
"36005006800","NYC","NY","Bronx"
"36005006900","NYC","NY","Bronx"
"36005007000","NYC","NY","Bronx"
"36005007100","NYC","NY","Bronx"
"36005007200","NYC","NY","Bronx"
"36005007300","NYC","NY","Bronx"
"36005007400","NYC","NY","Bronx"
"36005007500","NYC","NY","Bronx"
"36005007600","NYC","NY","Bronx"
"36005007700","NYC","NY","Bronx"
"36005007800","NYC","NY","Bronx"
"36005007900","NYC","NY","Bronx"
"36005008300","NYC","NY","Bronx"
"36005008400","NYC","NY","Bronx"
"36005008500","NYC","NY","Bronx"
"36005008600","NYC","NY","Bronx"
"36005008700","NYC","NY","Bronx"
"36005008900","NYC","NY","Bronx"
"36005009000","NYC","NY","Bronx"
"36005009200","NYC","NY","Bronx"
"36005009300","NYC","NY","Bronx"
"36005009600","NYC","NY","Bronx"
"36005009800","NYC","NY","Bronx"
"36005011000","NYC","NY","Bronx"
"36005011502","NYC","NY","Bronx"
"36005011700","NYC","NY","Bronx"
"36005011800","NYC","NY","Bronx"
"36005011900","NYC","NY","Bronx"
"36005012101","NYC","NY","Bronx"
"36005012102","NYC","NY","Bronx"
"36005012300","NYC","NY","Bronx"
"36005012500","NYC","NY","Bronx"
"36005012701","NYC","NY","Bronx"
"36005012901","NYC","NY","Bronx"
"36005013000","NYC","NY","Bronx"
"36005013100","NYC","NY","Bronx"
"36005013200","NYC","NY","Bronx"
"36005013300","NYC","NY","Bronx"
"36005013500","NYC","NY","Bronx"
"36005013800","NYC","NY","Bronx"
"36005014100","NYC","NY","Bronx"
"36005014300","NYC","NY","Bronx"
"36005014400","NYC","NY","Bronx"
"36005014500","NYC","NY","Bronx"
"36005014701","NYC","NY","Bronx"
"36005014702","NYC","NY","Bronx"
"36005014900","NYC","NY","Bronx"
"36005015100","NYC","NY","Bronx"
"36005015200","NYC","NY","Bronx"
"36005015300","NYC","NY","Bronx"
"36005015500","NYC","NY","Bronx"
"36005015700","NYC","NY","Bronx"
"36005015800","NYC","NY","Bronx"
"36005015900","NYC","NY","Bronx"
"36005016000","NYC","NY","Bronx"
"36005016100","NYC","NY","Bronx"
"36005016200","NYC","NY","Bronx"
"36005016300","NYC","NY","Bronx"
"36005016400","NYC","NY","Bronx"
"36005016500","NYC","NY","Bronx"
"36005016600","NYC","NY","Bronx"
"36005016700","NYC","NY","Bronx"
"36005016900","NYC","NY","Bronx"
"36005017100","NYC","NY","Bronx"
"36005017300","NYC","NY","Bronx"
"36005017500","NYC","NY","Bronx"
"36005017701","NYC","NY","Bronx"
"36005017702","NYC","NY","Bronx"
"36005017901","NYC","NY","Bronx"
"36005017902","NYC","NY","Bronx"
"36005018101","NYC","NY","Bronx"
"36005018102","NYC","NY","Bronx"
"36005018301","NYC","NY","Bronx"
"36005018302","NYC","NY","Bronx"
"36005018400","NYC","NY","Bronx"
"36005018500","NYC","NY","Bronx"
"36005018900","NYC","NY","Bronx"
"36005019300","NYC","NY","Bronx"
"36005019400","NYC","NY","Bronx"
"36005019500","NYC","NY","Bronx"
"36005019700","NYC","NY","Bronx"
"36005019900","NYC","NY","Bronx"
"36005020000","NYC","NY","Bronx"
"36005020100","NYC","NY","Bronx"
"36005020200","NYC","NY","Bronx"
"36005020400","NYC","NY","Bronx"
"36005020501","NYC","NY","Bronx"
"36005020502","NYC","NY","Bronx"
"36005020601","NYC","NY","Bronx"
"36005020900","NYC","NY","Bronx"
"36005021001","NYC","NY","Bronx"
"36005021002","NYC","NY","Bronx"
"36005021100","NYC","NY","Bronx"
"36005021200","NYC","NY","Bronx"
"36005021301","NYC","NY","Bronx"
"36005021302","NYC","NY","Bronx"
"36005021501","NYC","NY","Bronx"
"36005021502","NYC","NY","Bronx"
"36005021601","NYC","NY","Bronx"
"36005021602","NYC","NY","Bronx"
"36005021700","NYC","NY","Bronx"
"36005021800","NYC","NY","Bronx"
"36005021900","NYC","NY","Bronx"
"36005022000","NYC","NY","Bronx"
"36005022101","NYC","NY","Bronx"
"36005022102","NYC","NY","Bronx"
"36005022200","NYC","NY","Bronx"
"36005022300","NYC","NY","Bronx"
"36005022401","NYC","NY","Bronx"
"36005022403","NYC","NY","Bronx"
"36005022404","NYC","NY","Bronx"
"36005022500","NYC","NY","Bronx"
"36005022701","NYC","NY","Bronx"
"36005022702","NYC","NY","Bronx"
"36005022703","NYC","NY","Bronx"
"36005022800","NYC","NY","Bronx"
"36005022901","NYC","NY","Bronx"
"36005022902","NYC","NY","Bronx"
"36005023000","NYC","NY","Bronx"
"36005023100","NYC","NY","Bronx"
"36005023200","NYC","NY","Bronx"
"36005023301","NYC","NY","Bronx"
"36005023302","NYC","NY","Bronx"
"36005023501","NYC","NY","Bronx"
"36005023502","NYC","NY","Bronx"
"36005023600","NYC","NY","Bronx"
"36005023702","NYC","NY","Bronx"
"36005023703","NYC","NY","Bronx"
"36005023704","NYC","NY","Bronx"
"36005023800","NYC","NY","Bronx"
"36005023900","NYC","NY","Bronx"
"36005024000","NYC","NY","Bronx"
"36005024100","NYC","NY","Bronx"
"36005024300","NYC","NY","Bronx"
"36005024400","NYC","NY","Bronx"
"36005024501","NYC","NY","Bronx"
"36005024502","NYC","NY","Bronx"
"36005024600","NYC","NY","Bronx"
"36005024700","NYC","NY","Bronx"
"36005024800","NYC","NY","Bronx"
"36005024900","NYC","NY","Bronx"
"36005025000","NYC","NY","Bronx"
"36005025100","NYC","NY","Bronx"
"36005025200","NYC","NY","Bronx"
"36005025300","NYC","NY","Bronx"
"36005025400","NYC","NY","Bronx"
"36005025500","NYC","NY","Bronx"
"36005025600","NYC","NY","Bronx"
"36005025700","NYC","NY","Bronx"
"36005026100","NYC","NY","Bronx"
"36005026300","NYC","NY","Bronx"
"36005026400","NYC","NY","Bronx"
"36005026500","NYC","NY","Bronx"
"36005026601","NYC","NY","Bronx"
"36005026602","NYC","NY","Bronx"
"36005026701","NYC","NY","Bronx"
"36005026702","NYC","NY","Bronx"
"36005026900","NYC","NY","Bronx"
"36005027300","NYC","NY","Bronx"
"36005027401","NYC","NY","Bronx"
"36005027402","NYC","NY","Bronx"
"36005027600","NYC","NY","Bronx"
"36005027700","NYC","NY","Bronx"
"36005027900","NYC","NY","Bronx"
"36005028100","NYC","NY","Bronx"
"36005028300","NYC","NY","Bronx"
"36005028400","NYC","NY","Bronx"
"36005028500","NYC","NY","Bronx"
"36005028600","NYC","NY","Bronx"
"36005028700","NYC","NY","Bronx"
"36005028800","NYC","NY","Bronx"
"36005028900","NYC","NY","Bronx"
"36005029301","NYC","NY","Bronx"
"36005029302","NYC","NY","Bronx"
"36005029500","NYC","NY","Bronx"
"36005029600","NYC","NY","Bronx"
"36005029700","NYC","NY","Bronx"
"36005030000","NYC","NY","Bronx"
"36005030100","NYC","NY","Bronx"
"36005030200","NYC","NY","Bronx"
"36005030701","NYC","NY","Bronx"
"36005030900","NYC","NY","Bronx"
"36005031000","NYC","NY","Bronx"
"36005031200","NYC","NY","Bronx"
"36005031400","NYC","NY","Bronx"
"36005031600","NYC","NY","Bronx"
"36005031800","NYC","NY","Bronx"
"36005031900","NYC","NY","Bronx"
"36005032300","NYC","NY","Bronx"
"36005032400","NYC","NY","Bronx"
"36005032600","NYC","NY","Bronx"
"36005032800","NYC","NY","Bronx"
"36005033000","NYC","NY","Bronx"
"36005033201","NYC","NY","Bronx"
"36005033202","NYC","NY","Bronx"
"36005033400","NYC","NY","Bronx"
"36005033500","NYC","NY","Bronx"
"36005033600","NYC","NY","Bronx"
"36005033700","NYC","NY","Bronx"
"36005033800","NYC","NY","Bronx"
"36005034000","NYC","NY","Bronx"
"36005034200","NYC","NY","Bronx"
"36005034300","NYC","NY","Bronx"
"36005034400","NYC","NY","Bronx"
"36005034500","NYC","NY","Bronx"
"36005034800","NYC","NY","Bronx"
"36005035000","NYC","NY","Bronx"
"36005035100","NYC","NY","Bronx"
"36005035600","NYC","NY","Bronx"
"36005035800","NYC","NY","Bronx"
"36005035900","NYC","NY","Bronx"
"36005036000","NYC","NY","Bronx"
"36005036100","NYC","NY","Bronx"
"36005036300","NYC","NY","Bronx"
"36005036400","NYC","NY","Bronx"
"36005036501","NYC","NY","Bronx"
"36005036502","NYC","NY","Bronx"
"36005036700","NYC","NY","Bronx"
"36005036800","NYC","NY","Bronx"
