GEOID,pop,pop_dens,race_white,race_minority,female,age_genz,age_millenial,age_genx,age_boomer,age_retiree,divsep,widowed,median_age,not_us_citizen,median_earnings,trav_cars,trav_trans,trav_motorcycle,trav_bike,trav_walk,trav_home,edu_lowedu,edu_hsged,edu_bs,edu_grad,unemp,below_pov,City,Borough,Type,Collisions,CasualtiesPerPop,CasualtiesCount,PedeCasualtiesCount,PedeCasualtiesPerPop,CyclCasualtiesCount,CyclCasualtiesPerPop,MotrCasualtiesCount,MotrCasualtiesPerPop
6037217001,3162,15057.14,2656,506,1730,1141,631,709,516,165,225,108,30.9,181,46875,966,44,4,0,58,214,68,414,568,315,68,409,LA,Los Angeles,Count,206,0.016761543,53,32,0.010120177,12,0.003795066,9,0.0028463
6037207301,4847,28511.76,2190,2657,2055,161,1975,1610,931,170,788,132,37,543,49141,1295,616,0,0,548,377,192,1128,1756,433,369,1397,LA,Los Angeles,Count,506,0.037136373,180,101,0.020837632,65,0.013410357,14,0.002888385
6037204410,2290,20818.18,24,2266,1202,818,546,548,314,64,211,104,29.4,789,18209,597,178,13,12,110,38,90,337,80,13,46,1102,LA,Los Angeles,Count,91,0.010917031,25,15,0.006550218,7,0.003056769,3,0.001310044
6037203900,3071,18064.71,49,3022,1488,863,880,750,498,80,231,145,31.6,974,20315,979,232,0,7,139,0,115,640,133,15,242,780,LA,Los Angeles,Count,88,0.003907522,12,6,0.001953761,2,0.000651254,4,0.001302507
6037104610,3337,14508.7,60,3277,1560,861,939,849,524,164,268,147,31.9,872,20603,1126,124,16,18,65,11,270,843,72,9,169,876,LA,Los Angeles,Count,99,0.004495055,15,3,0.000899011,9,0.002697033,3,0.000899011
6037127400,6409,7721.687,1111,5298,3021,1771,1762,2017,744,115,440,73,32.5,2106,21755,2512,84,0,71,57,106,410,1602,295,193,373,1658,LA,Los Angeles,Count,476,0.010298018,66,26,0.004056795,21,0.003276642,19,0.002964581
6037211000,4766,4627.184,2566,2200,2436,1068,909,1175,1307,307,260,244,43.3,484,63477,2231,57,10,8,12,211,20,649,1663,631,118,401,LA,Los Angeles,Count,801,0.032312211,154,51,0.010700797,49,0.010281158,54,0.011330256
6037104701,4028,19180.95,6,4022,2188,1467,1116,863,516,66,186,40,24.4,911,17074,980,143,0,0,42,21,267,528,61,26,320,1716,LA,Los Angeles,Count,125,0.007199603,29,16,0.003972195,9,0.002234359,4,0.000993049
6037203200,4909,24545,74,4835,2482,1487,1374,1273,634,141,414,89,30.6,1455,22567,1470,243,0,0,151,76,343,1069,189,53,115,1537,LA,Los Angeles,Count,67,0.001018537,5,3,0.000611122,2,0.000407415,0,0
6037265202,3690,16772.73,2447,1243,1660,329,1349,890,724,398,394,249,44.6,687,40916,1097,39,0,40,495,158,57,410,751,781,132,623,LA,Los Angeles,Count,269,0.017073171,63,39,0.010569106,15,0.004065041,9,0.002439024
6037232600,6073,19590.32,57,6016,3287,1893,1533,1665,704,278,368,328,31.2,1374,20276,1827,213,0,0,29,53,209,1558,255,28,301,2253,LA,Los Angeles,Count,454,0.011197102,68,41,0.006751194,21,0.003457929,6,0.00098798
6037191901,3321,11070,1871,1450,1421,361,1607,1010,258,85,356,75,30.8,626,35705,1752,167,0,11,122,133,84,1090,753,202,262,688,LA,Los Angeles,Count,367,0.024992472,83,34,0.01023788,29,0.00873231,20,0.006022282
