,GEOID,City,STATE_x,2018 Total Crime Index,Alcoholic Beverages,AnalysisArea_x,AnalysisArea_y,Beer/Wine/Liquor Stores:Bus,COUNTY_x,Eating & Drinking Businesses (SIC),Education/Library Businesses (SIC),Food Stores - Businesses (SIC),Health Services - Businesses (SIC),Hotel/Lodging Businesses (SIC),MAX_POSTED_SPEED_LIMIT,MAX_SECTION_LENGTH,MAX_TOTAL_LANES,MEAN_ACTUAL_PCT_TRUCKS,MEAN_IRI,MEAN_I_NO_OF_BUMPS,MEAN_LAST_ACTUAL_AADT,MEAN_LAST_ACTUAL_CNTYR,MEAN_MEDIAN_WIDTH,MEAN_PCI,MEAN_POSTED_SPEED_LIMIT,MEAN_SECTION_LENGTH,MEAN_TOTAL_LANES,MEAN_TOTAL_PAVEMENT_WIDTH,MEAN_VC,MEAN_q_score,MIN_SECTION_LENGTH,POPULATION_x,Point_Count,Public/Other Transportation,SQMI_x,SUM_Length_Miles,Total Retail:Bus,POPULATION_x,Went to fast food/drive-in restaurant 9+ times/mo,Went to fast food/drive-in restaurant in last 6 mo
0,36081049700.0,NYC,NY,26.0,603537.0,0.19756429,0.07628,0.0,Queens,1.0,1.0,0.0,1.0,1.0,7.0,0.31000001,2.00000004,0.50658382,16.814454,5.604818,663.180675,144.4356089,,71.49303412,2.10110624,0.21500384,1.49165739,6.09141949,,24.75118415,0.00058145,3002.0,112.0,423655.0,0.08,0.64886654,2.0,3002.0,770.0,1914.0
1,36061001800.0,NYC,NY,125.0,2229953.0,0.22358644,0.08632721,1.0,New York,106.0,11.0,23.0,9.0,8.0,25.0,0.30843899,5.99999979,0.07282501,83.70822667,12.5896371,8694.389712999999,561.8225368,3.29086518,35.758243,12.03455971,0.20089427,1.60731171,6.67407321,0.04579461,26.22640471,0.00226131,8823.0,129.0,1354107.0,0.09,2.65411868,255.0,8823.0,2501.0,6404.0
2,36047012902.0,NYC,NY,111.0,1300853.0,0.12835748,0.0495591,1.0,Kings,32.0,1.0,4.0,5.0,0.0,30.0,0.17987881,2.00000166,0.2267065,23.36276849,4.93486049,4296.449853,424.8557478999999,,19.81273511,5.40076603,0.11814637,0.66137689,3.86839778,0.12328423,25.52599999,0.00317642,2046.0,71.0,631160.0,0.05,1.07010725,60.0,2046.0,582.0,1575.0
3,36061003800.0,NYC,NY,113.0,4109831.0,0.20204360000000002,0.07800947,4.0,New York,181.0,11.0,23.0,11.0,3.0,25.0,0.28565959,1.99861719,,20.84171905,4.26635716,2491.4054929999998,662.8500944,,56.18997522,14.70603404,0.25140818,1.03273546,6.72539292,,27.73859175,7.900000000000001e-05,9355.0,118.0,1565816.0,0.08,2.14405482,295.0,9355.0,3734.0,8025.0
4,36061012700.0,NYC,NY,115.0,4262398.0,0.17425524,0.06728032,4.0,New York,87.0,11.0,13.0,17.0,4.0,18.0,0.34142247,1.45213854,,9.51085706,6.33406136,4325.754198,915.0454802000002,,44.09612346,11.40454598,0.29129465,0.79032866,3.07682891,0.04180981,28.61131946,0.00603763,7311.0,102.0,2063754.0,0.07,1.75026385,142.0,7311.0,2219.0,5924.0
5,36061012000.0,NYC,NY,89.0,3457052.0,0.1687922,0.06517103,1.0,New York,19.0,9.0,2.0,55.0,1.0,12.0,0.34578379,1.11871686,0.0,18.80842618,22.98881973,3056.1767879999998,472.890247,0.21286126,21.75029689,6.39840571,0.21722152,0.56008756,4.13829295,0.07876379,26.34242803,0.04521294,4012.0,97.0,1250408.0,0.07,1.87057767,83.0,4012.0,1175.0,3076.0
6,36081046500.0,NYC,NY,57.0,593723.0,0.13005009,0.05021262,1.0,Queens,12.0,0.0,11.0,10.0,0.0,3.0,0.19006587,1.99999991,0.1565818,5.76604465,2.80781305,218.49130930000004,33.610190700000004,,67.59272285,0.4697454000000001,0.13865907,1.36779641,4.20103768,0.00952651,27.823624,0.00583889,4105.0,75.0,371884.0,0.05,0.74906085,38.0,4105.0,1150.0,2923.0
7,36047079601.0,NYC,NY,67.0,845289.0,0.11037597,0.0426164,1.0,Kings,10.0,1.0,3.0,2.0,0.0,24.0,0.22615715,0.96809149,0.33116881,80.83676743,9.71933414,4790.954867,620.7216176,,24.91316607,7.72877267,0.18656884,0.54440513,3.12151685,0.25130597,28.48941014,1.63e-05,4485.0,65.0,622528.0,0.04,0.82768034,19.0,4485.0,1275.0,3050.0
8,36047056100.0,NYC,NY,79.0,1212766.0,0.33436087,0.12909745,1.0,Kings,18.0,4.0,14.0,10.0,0.0,9.0,0.29369124,1.2876758999999998,0.0,,,932.3904218,240.4308142,,39.30844592,2.96661934,0.23273545,0.78598334,1.96449438,0.03222949,22.08114279,0.01941342,3465.0,168.0,586665.0,0.13,1.29343959,77.0,3465.0,1113.0,2954.0
9,36047004700.0,NYC,NY,113.0,911833.0,0.26460951,0.1021663,0.0,Kings,5.0,1.0,0.0,0.0,0.0,45.0,0.43500598,2.00000592,4.60071825,134.9670022,16.11578971,45056.8135,1594.153556,1.24092099,55.11980674,21.88808007,0.17851129,0.75856513,13.05091018,0.74082842,21.85415899,2.3899999999999998e-05,1531.0,97.0,441092.0,0.1,2.74595255,10.0,1531.0,391.0,1038.0
10,36005005002.0,NYC,NY,56.0,533965.0,0.11300973,0.0436333,1.0,Bronx,13.0,0.0,6.0,3.0,0.0,11.0,0.23890993,0.91888434,,176.75392649999998,60.50256652,11089.92247,873.5406473999999,,21.787083499999998,10.34683666,0.22561894,0.86790286,2.16975715,0.61397323,26.56829577,0.01507482,5851.0,66.0,444128.0,0.04,0.25395274,37.0,5851.0,1346.0,3556.0
11,36081099705.0,NYC,NY,9.0,1002288.0,0.48968093,0.18906687,0.0,Queens,4.0,1.0,1.0,2.0,0.0,50.0,0.35292870000000004,6.00000931,2.39602959,80.77921276,6.98207086,39259.45274,1523.320286,2.10388132,63.94831943,18.69187988,0.19356147,1.88267746,12.66165518,0.15433783,20.57842352,8.05e-06,2697.0,183.0,242617.0,0.19,3.06076198,8.0,2697.0,926.0,2081.0
12,36061003700.0,NYC,NY,222.0,2087002.0,0.37696766,0.14554803,2.0,New York,58.0,25.0,10.0,14.0,6.0,40.0,0.36153637,3.99217854,0.56919496,63.12650226,9.14132851,13247.07184,861.3372717,0.43219355,52.33014117,12.90893186,0.22842489,1.25234557,7.27421852,0.09550054,22.68137316,0.00014815,2504.0,211.0,1012591.0,0.15,4.99369723,145.0,2504.0,763.0,2066.0
