"City","GEOID","Collisions","TotalInjuries","TotalDeaths","TotalCasualties"
"DC",11001000100,1460,286,0,286
"DC",11001000201,93,16,0,16
"DC",11001000202,1321,283,0,283
"DC",11001000300,340,48,1,49
"DC",11001000400,497,140,1,141
"DC",11001000501,406,91,0,91
"DC",11001000502,200,39,0,39
"DC",11001000600,548,145,0,145
"DC",11001000701,222,58,0,58
"DC",11001000702,98,21,0,21
"DC",11001000801,304,98,0,98
"DC",11001000802,282,84,0,84
"DC",11001000901,322,95,0,95
"DC",11001000902,206,59,0,59
"DC",11001001001,660,154,0,154
"DC",11001001002,416,83,0,83
"DC",11001001100,792,189,1,190
"DC",11001001200,602,145,0,145
"DC",11001001301,120,35,0,35
"DC",11001001302,529,149,0,149
"DC",11001001401,211,58,0,58
"DC",11001001402,270,91,0,91
"DC",11001001500,95,22,0,22
"DC",11001001600,463,163,0,163
"DC",11001001702,374,108,0,108
"DC",11001001803,277,79,0,79
"DC",11001001804,660,207,0,207
"DC",11001001901,550,145,0,145
"DC",11001001902,197,59,0,59
"DC",11001002001,316,86,1,87
"DC",11001002002,693,207,1,208
"DC",11001002101,591,158,1,159
"DC",11001002102,962,295,0,295
"DC",11001002201,312,89,1,90
"DC",11001002202,256,70,0,70
"DC",11001002301,202,75,0,75
"DC",11001002302,603,192,0,192
"DC",11001002400,465,145,0,145
"DC",11001002501,433,146,2,148
"DC",11001002502,793,222,0,222
"DC",11001002600,196,50,0,50
"DC",11001002701,313,84,0,84
"DC",11001002702,340,68,0,68
"DC",11001002801,326,86,1,87
"DC",11001002802,716,153,0,153
"DC",11001002900,420,97,1,98
"DC",11001003000,352,81,0,81
"DC",11001003100,700,210,1,211
"DC",11001003200,535,159,0,159
"DC",11001003301,340,88,0,88
"DC",11001003302,564,191,0,191
"DC",11001003400,994,294,2,296
"DC",11001003500,838,191,2,193
"DC",11001003600,401,99,0,99
"DC",11001003700,425,109,0,109
"DC",11001003800,765,173,1,174
"DC",11001003900,262,50,0,50
"DC",11001004001,251,42,0,42
"DC",11001004002,367,62,0,62
"DC",11001004100,636,156,0,156
"DC",11001004201,494,121,0,121
"DC",11001004202,398,84,0,84
"DC",11001004300,818,175,1,176
"DC",11001004400,1586,406,2,408
"DC",11001004600,1085,262,0,262
"DC",11001004701,1481,407,1,408
"DC",11001004702,1055,264,0,264
