"GEOID","pop_dens","minority_dens","female_dens","genz_dens","millenial_dens","genx_dens","boomer_dens","retiree_dens","divsep_dens","widowed_dens","median_age","foreign_dens","median_earnings","cars_dens","trans_dens","mbike_dens","bike_dens","walk_dens","wfm_dens","lowedu_dens","hsged_dens","bs_dens","grad_dens","unemp_dens","pov_dens","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36081049700",35675,22925,17950,7275,9437.5,9962.5,7662.5,1337.5,3012.5,1987.5,37.6,7275,31145,6587.5,10112.5,0,0,1712.5,0,1887.5,10875,6025,662.5,912.5,3425,"NYC",99,11,5,0,11,0
"36061001800",88788.8888888889,62300,36133.3333333333,7233.33333333333,33266.6666666667,24955.5555555556,18955.5555555556,4377.77777777778,5766.66666666667,3455.55555555556,37.1,18288.8888888889,41354,4588.88888888889,26100,0,2411.11111111111,11088.8888888889,6533.33333333333,5222.22222222222,17266.6666666667,21644.4444444444,4377.77777777778,3522.22222222222,21511.1111111111,"NYC",2312,461,131,1,460,1
"36047012902",38160,14660,20120,5980,14760,10700,6140,580,1720,540,33.7,4320,54258,1440,18320,200,280,780,2380,160,4420,11160,9200,880,2420,"NYC",611,140,38,0,140,0
"36061003800",105362.5,33812.5,56987.5,2962.5,53975,27525,16700,4200,8287.5,3387.5,32.8,15675,48594,2237.5,40650,0,2525,22012.5,3712.5,1425,12700,34225,22675,3312.5,14312.5,"NYC",907,167,74,1,165,2
"36061012700",95442.8571428571,42571.4285714286,39042.8571428571,2171.42857142857,36957.1428571429,36042.8571428571,18971.4285714286,1300,9257.14285714286,3442.85714285714,40.9,11085.7142857143,51786,3328.57142857143,33900,0,2828.57142857143,28042.8571428571,3785.71428571429,2014.28571428571,11057.1428571429,43928.5714285714,17500,3414.28571428571,9657.14285714286,"NYC",1018,131,59,0,131,0
"36061012000",50057.1428571429,6042.85714285714,29628.5714285714,7542.85714285714,9114.28571428571,10542.8571428571,14057.1428571429,8800,5328.57142857143,2514.28571428571,47.3,3785.71428571429,96701,1514.28571428571,8071.42857142857,0,0,9171.42857142857,3928.57142857143,271.428571428571,3300,18514.2857142857,9885.71428571428,714.285714285714,3257.14285714286,"NYC",883,140,53,2,138,2
"36081046500",66960,64780,30060,13260,24740,17980,7840,3140,4940,2360,31,27200,18456,6060,23980,0,1920,3300,460,4340,15640,5360,1580,1400,14780,"NYC",248,45,10,0,45,0
"36047079601",115550,91650,61300,16275,41650,31350,20375,5900,13975,5275,35,21900,36381,7100,50125,0,650,2600,625,3400,38850,18725,9575,6950,17100,"NYC",249,76,18,1,75,1
"36047056100",24307.6923076923,6223.07692307692,13030.7692307692,2092.30769230769,11100,6107.69230769231,4015.38461538462,992.307692307692,1361.53846153846,953.846153846154,33.1,2930.76923076923,43897,1492.30769230769,11184.6153846154,0,976.923076923077,969.230769230769,684.615384615385,230.769230769231,3853.84615384615,8592.30769230769,3423.07692307692,761.538461538462,2323.07692307692,"NYC",610,88,23,0,88,0
"36047004700",16476.9230769231,7461.53846153846,8507.69230769231,4169.23076923077,3700,6430.76923076923,1476.92307692308,700,969.230769230769,292.307692307692,36.3,1376.92307692308,71290,1676.92307692308,5376.92307692308,100,230.769230769231,461.538461538462,576.923076923077,500,1900,3953.84615384615,3161.53846153846,1284.61538461538,1192.30769230769,"NYC",1061,286,6,0,286,0
"36005005002",142175,141300,71725,41525,45075,36925,16575,2075,12175,2925,30,59975,17398,6525,45425,0,750,7000,1275,4675,28675,5150,1200,9125,62050,"NYC",228,57,24,0,57,0
"36081099705",14688.2352941176,6129.41176470588,6958.82352941176,2988.23529411765,2570.58823529412,4152.94117647059,3705.88235294118,1270.58823529412,700,676.470588235294,45.1,1570.58823529412,58971,4141.17647058824,2117.64705882353,0,0,23.5294117647059,400,352.941176470588,2205.88235294118,2952.94117647059,1641.17647058824,535.294117647059,1047.05882352941,"NYC",565,138,1,1,137,1
"36061003700",16643.75,3337.5,8768.75,2737.5,3768.75,5756.25,2762.5,1618.75,1081.25,856.25,41.9,2343.75,103032,781.25,5293.75,0,312.5,2406.25,850,131.25,2068.75,5125,3262.5,531.25,981.25,"NYC",1858,314,91,0,314,0
"36061011700",56485.7142857143,28528.5714285714,29385.7142857143,6971.42857142857,22200,19157.1428571429,7957.14285714286,200,7200,742.857142857143,33.9,13628.5714285714,78897,3185.71428571429,22942.8571428571,0,1685.71428571429,10100,1442.85714285714,185.714285714286,8042.85714285714,19714.2857142857,13085.7142857143,3257.14285714286,5571.42857142857,"NYC",1808,152,21,1,150,2
