"GEOID","crime_idx","spend_alc","spend_trans","biz_alc","biz_resto","biz_lib","biz_groc","biz_health","biz_hotel","biz_retail","fastfood_6mo","fastfood_freq","road_maxspeed","road_meanspeed","road_maxlength","road_minlength","road_meanlength","road_totlanes","road_maxlanes","road_trucks","road_iri","road_bumps","road_aadt","road_width","road_sumlength","road_pci","road_pavewidth","road_vc","road_q","pop","sqmi","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36081049700",26,603537,423655,0,1,1,0,1,1,2,1914,770,7,2.10110624,0.31000001,0.00058145,0.21500384,1.49165739,2.00000004,0.50658382,16.814454,5.604818,663.180675,NA,0.64886654,71.49303412,6.09141949,NA,24.75118415,3002,0.08,"NYC",99,11,5,0,11,0
"36061001800",125,2229953,1354107,1,106,11,23,9,8,255,6404,2501,25,12.03455971,0.30843899,0.00226131,0.20089427,1.60731171,5.99999979,0.07282501,83.70822667,12.5896371,8694.389713,3.29086518,2.65411868,35.758243,6.67407321,0.04579461,26.22640471,8823,0.09,"NYC",2312,461,131,1,460,1
"36047012902",111,1300853,631160,1,32,1,4,5,0,60,1575,582,30,5.40076603,0.17987881,0.00317642,0.11814637,0.66137689,2.00000166,0.2267065,23.36276849,4.93486049,4296.449853,NA,1.07010725,19.81273511,3.86839778,0.12328423,25.52599999,2046,0.05,"NYC",611,140,38,0,140,0
"36061003800",113,4109831,1565816,4,181,11,23,11,3,295,8025,3734,25,14.70603404,0.28565959,7.9e-05,0.25140818,1.03273546,1.99861719,NA,20.84171905,4.26635716,2491.405493,NA,2.14405482,56.18997522,6.72539292,NA,27.73859175,9355,0.08,"NYC",907,167,74,1,165,2
"36061012700",115,4262398,2063754,4,87,11,13,17,4,142,5924,2219,18,11.40454598,0.34142247,0.00603763,0.29129465,0.79032866,1.45213854,NA,9.51085706,6.33406136,4325.754198,NA,1.75026385,44.09612346,3.07682891,0.04180981,28.61131946,7311,0.07,"NYC",1018,131,59,0,131,0
"36061012000",89,3457052,1250408,1,19,9,2,55,1,83,3076,1175,12,6.39840571,0.34578379,0.04521294,0.21722152,0.56008756,1.11871686,0,18.80842618,22.98881973,3056.176788,0.21286126,1.87057767,21.75029689,4.13829295,0.07876379,26.34242803,4012,0.07,"NYC",883,140,53,2,138,2
"36081046500",57,593723,371884,1,12,0,11,10,0,38,2923,1150,3,0.4697454,0.19006587,0.00583889,0.13865907,1.36779641,1.99999991,0.1565818,5.76604465,2.80781305,218.4913093,NA,0.74906085,67.59272285,4.20103768,0.00952651,27.823624,4105,0.05,"NYC",248,45,10,0,45,0
"36047079601",67,845289,622528,1,10,1,3,2,0,19,3050,1275,24,7.72877267,0.22615715,1.63e-05,0.18656884,0.54440513,0.96809149,0.33116881,80.83676743,9.71933414,4790.954867,NA,0.82768034,24.91316607,3.12151685,0.25130597,28.48941014,4485,0.04,"NYC",249,76,18,1,75,1
"36047056100",79,1212766,586665,1,18,4,14,10,0,77,2954,1113,9,2.96661934,0.29369124,0.01941342,0.23273545,0.78598334,1.2876759,0,NA,NA,932.3904218,NA,1.29343959,39.30844592,1.96449438,0.03222949,22.08114279,3465,0.13,"NYC",610,88,23,0,88,0
"36047004700",113,911833,441092,0,5,1,0,0,0,10,1038,391,45,21.88808007,0.43500598,2.39e-05,0.17851129,0.75856513,2.00000592,4.60071825,134.9670022,16.11578971,45056.8135,1.24092099,2.74595255,55.11980674,13.05091018,0.74082842,21.85415899,1531,0.1,"NYC",1061,286,6,0,286,0
"36005005002",56,533965,444128,1,13,0,6,3,0,37,3556,1346,11,10.34683666,0.23890993,0.01507482,0.22561894,0.86790286,0.91888434,NA,176.7539265,60.50256652,11089.92247,NA,0.25395274,21.7870835,2.16975715,0.61397323,26.56829577,5851,0.04,"NYC",228,57,24,0,57,0
"36081099705",9,1002288,242617,0,4,1,1,2,0,8,2081,926,50,18.69187988,0.3529287,8.05e-06,0.19356147,1.88267746,6.00000931,2.39602959,80.77921276,6.98207086,39259.45274,2.10388132,3.06076198,63.94831943,12.66165518,0.15433783,20.57842352,2697,0.19,"NYC",565,138,1,1,137,1
"36061003700",222,2087002,1012591,2,58,25,10,14,6,145,2066,763,40,12.90893186,0.36153637,0.00014815,0.22842489,1.25234557,3.99217854,0.56919496,63.12650226,9.14132851,13247.07184,0.43219355,4.99369723,52.33014117,7.27421852,0.09550054,22.68137316,2504,0.15,"NYC",1858,314,91,0,314,0
"36061011700",208,3803220,1388034,0,7,1,2,3,1,21,3857,1848,35,17.72452513,0.39336331,0.00170429,0.18752933,1.884627,3.99999945,0.42586565,171.5196238,16.22218654,20258.62878,0.71499766,1.91937999,39.60552623,9.57446233,0.1985823,18.34904359,3859,0.08,"NYC",1808,152,21,1,150,2
"36085016901",33,761752,379298,1,14,4,4,41,0,25,1986,839,50,23.75082854,0.77988319,0.001667,0.27500079,0.91479814,2.00000043,2.13553187,68.346993,2.58962583,47420.23707,9.6281186,5.77952118,71.75101062,13.30231402,0.17393191,22.81446226,2990,0.31,"NYC",1141,251,28,0,250,1
