GEOID,pop,pop_dens,race_white,race_minority,female,age_genz,age_millenial,age_genx,age_boomer,age_retiree,divsep,widowed,median_age,not_us_citizen,median_earnings,trav_cars,trav_trans,trav_motorcycle,trav_bike,trav_walk,trav_home,edu_lowedu,edu_hsged,edu_bs,edu_grad,unemp,below_pov,City,Borough,Type,Collisions,CasualtiesPerPop,CasualtiesCount,PedeCasualtiesCount,PedeCasualtiesPerPop,CyclCasualtiesCount,CyclCasualtiesPerPop,MotrCasualtiesCount,MotrCasualtiesPerPop
11001001402,3250,9285.714,2136,1114,1737,688,528,928,579,527,286,264,43.1,238,82286,888,399,0,13,63,266,18,300,628,841,50,242,DC,District of Columbia,Count,270,0.028,91,4,0.001230769,1,0.000307692,86,0.026461538
11001009507,1777,16154.55,22,1755,1028,389,502,375,300,211,147,206,34.9,145,43487,454,228,0,0,0,16,27,546,147,121,169,259,DC,District of Columbia,Count,123,0.020258863,36,3,0.001688239,1,0.000562746,32,0.018007878
11001010800,6398,24607.69,4098,2300,3444,74,6005,166,118,35,58,12,20,758,3065,117,662,0,70,1418,142,0,77,249,324,250,716,DC,District of Columbia,Count,1234,0.046264458,296,63,0.009846827,14,0.002188184,219,0.034229447
11001003500,5440,36266.67,967,4473,3045,375,3797,682,512,74,366,72,23.1,325,9609,577,1179,6,163,474,160,76,559,737,450,259,636,DC,District of Columbia,Count,838,0.035477941,193,14,0.002573529,14,0.002573529,165,0.030330882
11001010400,4726,4458.491,229,4497,2455,1175,1130,1329,927,165,565,157,35.6,103,31543,789,664,0,13,0,27,64,1645,344,193,483,1257,DC,District of Columbia,Count,1185,0.078501904,371,25,0.005289886,5,0.001057977,341,0.072154041
11001008001,3162,24323.08,1869,1293,1769,571,1083,973,459,76,350,57,34.5,137,75814,963,521,10,211,85,102,8,473,731,932,130,197,DC,District of Columbia,Count,194,0.015812777,50,3,0.000948767,3,0.000948767,44,0.013915244
11001005500,6780,28250,4954,1826,3496,333,3225,1827,1008,387,450,149,33.9,1205,65833,1140,1315,45,202,1578,233,5,289,1684,2404,112,1213,DC,District of Columbia,Count,1802,0.039528024,268,35,0.005162242,27,0.003982301,206,0.030383481
11001006900,2220,13875,1564,656,1200,307,510,913,430,60,198,54,40,101,82122,522,703,8,76,65,112,15,293,573,613,5,89,DC,District of Columbia,Count,296,0.020720721,46,6,0.002702703,3,0.001351351,37,0.016666667
11001011100,5525,2500,444,5081,2858,1102,1204,1355,1321,543,897,477,42.2,227,35150,1249,568,0,20,55,54,90,1550,793,444,413,960,DC,District of Columbia,Count,2783,0.142443439,787,32,0.005791855,11,0.00199095,744,0.134660633
11001005001,2076,25950,1273,803,795,177,876,758,234,31,161,25,34.6,238,64292,351,470,6,113,574,97,6,177,789,434,27,191,DC,District of Columbia,Count,312,0.041907514,87,3,0.001445087,8,0.003853565,76,0.036608863
11001007504,2903,9364.516,24,2879,1636,913,784,688,516,2,253,10,27.6,23,28073,504,305,0,0,0,41,30,1012,83,115,227,1235,DC,District of Columbia,Count,272,0.019979332,58,10,0.003444712,3,0.001033414,45,0.015501206
11001000400,1607,2723.729,1033,574,804,303,333,371,475,125,117,48,44.7,295,87895,454,94,0,22,84,140,17,164,273,443,4,166,DC,District of Columbia,Count,497,0.087741133,141,11,0.006845053,6,0.003733665,124,0.077162414
11001000100,5005,6951.389,4199,806,2668,806,1467,1240,1209,283,433,69,37.5,726,87338,945,654,0,261,646,413,12,311,780,1706,138,165,DC,District of Columbia,Count,1460,0.057142857,286,42,0.008391608,33,0.006593407,211,0.042157842
11001002302,1722,2207.692,739,983,768,77,693,221,268,463,194,265,43.5,74,45078,382,233,0,79,51,19,31,506,328,385,30,331,DC,District of Columbia,Count,603,0.111498258,192,10,0.005807201,4,0.00232288,178,0.103368177
11001010600,6449,13435.42,3964,2485,3032,452,3991,1445,483,78,410,122,30.5,274,61531,1307,2133,4,371,694,210,22,573,1918,1756,215,961,DC,District of Columbia,Count,2670,0.095053497,613,50,0.00775314,44,0.006822763,519,0.080477593
11001002701,5856,34447.06,2432,3424,2824,1172,1879,1759,783,263,381,275,33,1058,44567,726,1728,7,297,386,340,134,965,1083,1335,181,991,DC,District of Columbia,Count,313,0.014344262,84,7,0.001195355,6,0.00102459,71,0.012124317
11001010100,2647,12031.82,1531,1116,1448,134,1069,886,324,234,267,83,36,482,73438,288,456,11,31,998,71,27,364,618,828,105,381,DC,District of Columbia,Count,2509,0.193426521,512,67,0.025311674,53,0.020022667,392,0.14809218
11001005800,2769,7911.429,1737,1032,1265,136,828,1127,594,84,391,75,40.4,323,100724,373,576,8,28,837,162,73,196,688,878,194,421,DC,District of Columbia,Count,3305,0.236186349,654,107,0.038642109,52,0.018779343,495,0.178764897
11001007806,2078,7696.296,54,2024,1133,460,395,575,537,111,319,157,41.6,22,28646,368,370,0,0,10,0,24,963,85,18,172,609,DC,District of Columbia,Count,433,0.067853705,141,10,0.00481232,2,0.000962464,129,0.062078922
11001000202,4417,14248.39,3414,1003,2257,386,2226,782,859,164,319,65,25.5,454,31042,642,694,0,40,644,183,23,34,792,977,114,741,DC,District of Columbia,Count,1321,0.064070636,283,23,0.005207154,27,0.006112746,233,0.052750736
11001009501,7625,12298.39,1814,5811,3804,1592,3903,1189,737,204,546,192,22.8,1519,13355,1363,1045,0,97,551,81,168,1663,425,432,329,994,DC,District of Columbia,Count,658,0.028852459,220,7,0.000918033,4,0.00052459,209,0.027409836
11001007703,5521,14156.41,0,5521,3330,1907,1277,1188,917,232,414,230,29.6,221,22380,779,542,0,62,122,14,124,1632,88,38,609,2317,DC,District of Columbia,Count,508,0.028255751,156,14,0.002535773,1,0.000181127,141,0.025538852
11001003800,5038,35985.71,2872,2166,2357,455,2076,1578,883,46,492,84,34.9,743,70402,1109,1443,0,149,494,260,154,412,1363,1296,219,472,DC,District of Columbia,Count,765,0.034537515,174,16,0.003175863,23,0.004565304,135,0.026796348
11001009901,2718,3355.556,98,2620,1451,446,437,768,756,311,331,188,46.6,15,51424,825,391,0,0,33,20,44,821,485,404,159,250,DC,District of Columbia,Count,438,0.059602649,162,3,0.001103753,1,0.000367918,158,0.058130979
11001002400,4298,20466.67,985,3313,2155,574,1432,1238,822,232,385,186,36.8,328,42333,1113,1127,0,174,17,79,91,1048,826,535,207,377,DC,District of Columbia,Count,465,0.033736622,145,18,0.004187994,13,0.003024663,114,0.026523965
11001004001,4310,43100,3240,1070,1822,364,1785,1317,634,210,270,61,35.1,259,67362,959,1433,0,75,448,341,0,231,1283,1514,103,154,DC,District of Columbia,Count,251,0.00974478,42,7,0.00162413,3,0.000696056,32,0.007424594
11001010200,2552,5316.667,1056,1496,1435,225,884,699,554,190,260,87,38.4,131,66439,462,789,0,48,310,94,12,234,584,808,103,152,DC,District of Columbia,Count,1603,0.169670846,433,28,0.010971787,13,0.005094044,392,0.153605016
