GEOID,pop,pop_dens,race_white,race_minority,female,age_genz,age_millenial,age_genx,age_boomer,age_retiree,divsep,widowed,median_age,not_us_citizen,median_earnings,trav_cars,trav_trans,trav_motorcycle,trav_bike,trav_walk,trav_home,edu_lowedu,edu_hsged,edu_bs,edu_grad,unemp,below_pov,City,Borough,Class,CasualtiesPerPop,CasualtiesPerPopDens,TotalInjuries,TotalDeaths,Collisions,CasualtiesCount
36005043500,62,23.84615385,0,62,45,9,29,0,12,12,8,12,23.8,0,15375,0,31,0,0,0,0,0,4,0,0,0,8,NYC,Bronx,1,18.01612903,46.84193548,1111,6,2907,1117
36005027600,59,100,21,38,26,23,9,19,4,4,0,0,23.4,7,22813,14,0,0,0,0,0,4,15,0,0,14,8,NYC,Bronx,1,3.915254237,2.31,230,1,641,231
36005011000,151,188.75,0,151,72,12,39,100,0,0,9,0,40.9,0,23571,38,43,0,0,0,13,0,36,37,0,14,31,NYC,Bronx,1,1.01986755,0.81589404,154,0,504,154
36005033400,1468,1254.700855,132,1336,757,335,344,445,275,69,191,72,37.8,223,30938,281,379,0,0,4,0,58,407,192,55,71,302,NYC,Bronx,1,0.728882834,0.852792915,1066,4,2859,1070
36005028400,687,1597.674419,168,519,216,37,89,246,276,39,102,61,53.7,96,25110,35,50,0,6,0,33,30,272,69,7,6,59,NYC,Bronx,1,0.320232897,0.137700146,216,4,826,220
36005001900,2682,4257.142857,195,2487,1394,639,875,850,298,20,271,42,32.5,339,31031,272,732,0,16,60,50,107,772,247,106,234,911,NYC,Bronx,1,0.266592095,0.16795302,714,1,2873,715
36005002400,123,473.0769231,58,65,33,25,98,0,0,0,0,33,27.9,65,58526,0,98,0,0,0,0,0,33,26,39,0,0,NYC,Bronx,1,0.260162602,0.067642276,32,0,137,32
36005016500,1002,14314.28571,4,998,538,313,344,280,58,7,167,29,28.3,262,22258,111,200,0,0,21,14,29,280,100,0,55,367,NYC,Bronx,1,0.209580838,0.014670659,207,3,730,210
36005025700,1875,31250,44,1831,828,313,822,444,244,52,206,35,30.8,451,25333,138,859,0,34,111,3,92,742,190,35,101,455,NYC,Bronx,1,0.163733333,0.009824,307,0,945,307
36005006300,4291,10727.5,244,4047,2017,915,1184,1180,905,107,748,112,35.7,1082,27152,231,1563,0,0,179,0,152,1175,597,141,258,1154,NYC,Bronx,1,0.153111163,0.061244465,655,2,2210,657
36005006000,1269,9761.538462,17,1252,681,300,391,322,218,38,137,68,31,301,20972,134,317,0,5,16,45,64,308,143,39,71,417,NYC,Bronx,1,0.151300236,0.019669031,192,0,796,192
36005019400,2339,6879.411765,455,1884,1115,558,633,704,258,186,212,81,34.1,234,40341,466,378,0,0,101,5,85,756,287,44,123,438,NYC,Bronx,1,0.133390338,0.045352715,310,2,764,312
