GEOID,pop,pop_dens,race_white,race_minority,female,age_genz,age_millenial,age_genx,age_boomer,age_retiree,divsep,widowed,median_age,not_us_citizen,median_earnings,trav_cars,trav_trans,trav_motorcycle,trav_bike,trav_walk,trav_home,edu_lowedu,edu_hsged,edu_bs,edu_grad,unemp,below_pov,City,Borough,Class,CasualtiesPerPop,CasualtiesPerPopDens,TotalInjuries,TotalDeaths,Collisions,CasualtiesCount,PedeCasualtiesCount,road_maxspeed,road_meanspeed,road_maxlength,road_minlength,road_meanlength,road_totlanes,road_maxlanes,road_iri,road_bumps,road_aadt,road_sumlength,road_pci,road_pavewidth,road_vc,road_q
36005043500,62,23.84615385,0,62,45,9,29,0,12,12,8,12,23.8,0,15375,0,31,0,0,0,0,0,4,0,0,0,8,NYC,Bronx,1,18.01612903,46.84193548,1111,6,2907,1117,53,55,25.30375618,1.09073395,4.90E-05,0.36205801,2.20333209,6.00000188,103.9170913,11.73232115,33702.53819,18.84415677,71.24725216,16.55836867,0.30799489,24.25850337
36005027600,59,100,21,38,26,23,9,19,4,4,0,0,23.4,7,22813,14,0,0,0,0,0,4,15,0,0,14,8,NYC,Bronx,1,3.915254237,2.31,230,1,641,231,2,55,21.48250384,0.89296212,7.87E-05,0.32126334,1.37534308,6.00000304,91.96218316,16.46797916,35999.54829,8.70976335,67.54384297,14.12007234,0.07694269,22.43522492
36005011000,151,188.75,0,151,72,12,39,100,0,0,9,0,40.9,0,23571,38,43,0,0,0,13,0,36,37,0,14,31,NYC,Bronx,1,1.01986755,0.81589404,154,0,504,154,6,50,24.96316244,0.6115083,5.40E-05,0.26768552,0.60523567,3.00000004,102.4556388,8.13162224,50332.37815,6.92216276,67.7654299,19.41415667,0.13662561,19.07285094
36005033400,1468,1254.700855,132,1336,757,335,344,445,275,69,191,72,37.8,223,30938,281,379,0,0,4,0,58,407,192,55,71,302,NYC,Bronx,1,0.728882834,0.852792915,1066,4,2859,1070,52,50,19.21817939,0.64000003,8.91E-06,0.24251215,2.46368384,6.0000138,78.43984347,5.71459702,29580.389,11.98641268,73.9475726,10.89802864,0.20700344,25.65129156
36005028400,687,1597.674419,168,519,216,37,89,246,276,39,102,61,53.7,96,25110,35,50,0,6,0,33,30,272,69,7,6,59,NYC,Bronx,1,0.320232897,0.137700146,216,4,826,220,22,55,21.68333229,0.58999999,0.00030464,0.23413151,2.50961523,7.99999773,63.0978535,2.68260845,20542.19833,5.30178898,76.66266697,10.41704426,0.05005692,23.99046777
36005001900,2682,4257.142857,195,2487,1394,639,875,850,298,20,271,42,32.5,339,31031,272,732,0,16,60,50,107,772,247,106,234,911,NYC,Bronx,1,0.266592095,0.16795302,714,1,2873,715,47,50,20.42077547,0.53000001,0.00091746,0.2015,1.12866484,2.00000591,130.4251947,11.96732782,28979.61017,13.14755778,69.06406374,14.34013943,0.14410345,19.72295623
36005002400,123,473.0769231,58,65,33,25,98,0,0,0,0,33,27.9,65,58526,0,98,0,0,0,0,0,33,26,39,0,0,NYC,Bronx,1,0.260162602,0.067642276,32,0,137,32,4,50,10.90278168,0.27166082,0.00044415,0.12140084,1.48543018,6.0000114,55.69292208,0.84941767,15379.53297,1.68330084,59.42464136,6.77307525,0.1186389,22.67963854
36005016500,1002,14314.28571,4,998,538,313,344,280,58,7,167,29,28.3,262,22258,111,200,0,0,21,14,29,280,100,0,55,367,NYC,Bronx,1,0.209580838,0.014670659,207,3,730,210,12,50,14.40829066,0.23777838,0.00144907,0.13872095,0.612931,2.00000086,50.33710973,3.06288373,41346.36269,2.45632823,53.42357987,11.6158844,0.34422031,22.03952543
36005025700,1875,31250,44,1831,828,313,822,444,244,52,206,35,30.8,451,25333,138,859,0,34,111,3,92,742,190,35,101,455,NYC,Bronx,1,0.163733333,0.009824,307,0,945,307,11,50,21.81080384,0.22000003,4.43E-05,0.13756163,0.76644219,3.99998453,42.23153761,0.75080717,47814.59924,1.66849815,74.94120744,15.29157363,0.1130074,22.79221421
36005006300,4291,10727.5,244,4047,2017,915,1184,1180,905,107,748,112,35.7,1082,27152,231,1563,0,0,179,0,152,1175,597,141,258,1154,NYC,Bronx,1,0.153111163,0.061244465,655,2,2210,657,114,50,19.58800834,0.46999999,0.00013807,0.22948008,1.10877165,5.99999589,130.91386,8.80920476,26865.66389,8.17507045,66.55195375,11.59589165,0.12127488,22.46728672
36005006000,1269,9761.538462,17,1252,681,300,391,322,218,38,137,68,31,301,20972,134,317,0,5,16,45,64,308,143,39,71,417,NYC,Bronx,1,0.151300236,0.019669031,192,0,796,192,35,50,23.40121119,0.24036424,0.00023205,0.12603427,0.98427362,6.00000963,121.2272186,4.02610815,42957.08983,2.91401607,60.27826993,13.08967607,0.50442013,21.02718814
36005019400,2339,6879.411765,455,1884,1115,558,633,704,258,186,212,81,34.1,234,40341,466,378,0,0,101,5,85,756,287,44,123,438,NYC,Bronx,1,0.133390338,0.045352715,310,2,764,312,25,55,22.60665307,0.39999996,0.00047593,0.19952014,1.32157236,8.00000183,83.53800051,7.41865436,33072.38975,7.5074284,60.88905848,12.78486586,0.08755085,20.91915254
36005021900,1142,22840,15,1127,556,256,354,301,184,47,183,34,33.6,368,25804,71,401,0,0,18,15,75,238,101,17,37,372,NYC,Bronx,1,0.119089317,0.005954466,134,2,401,136,48,25,9.21202098,0.22000002,0.03171041,0.15249257,1.37164174,2.00000043,NA,0,1051.336674,0.73629954,66.54682746,3.2255784,0.0063093,22.90800667
36005023100,1650,33000,49,1601,653,356,442,568,245,39,182,90,37.3,495,23902,39,405,0,5,18,0,85,404,106,15,156,613,NYC,Bronx,1,0.103030303,0.005151515,169,1,608,170,32,50,13.80874783,0.20438807,0.00658954,0.09954479,0.74320463,1.99999755,32.03767107,1.15937101,30207.17671,0.7938521,47.28403454,10.11048231,0.27552908,21.92781397
36005009300,6601,7416.853933,65,6536,2745,1735,2172,1861,736,97,768,142,31,2016,22703,525,1107,0,0,381,91,562,1725,276,104,156,2365,NYC,Bronx,1,0.100287835,0.089256173,657,5,2512,662,64,50,22.84677517,0.68581208,0.00173339,0.32829404,1.3970018,4.0000006,114.6534845,8.86767226,23232.11647,9.63869226,67.51803326,11.12801843,0.08713486,19.43050672
36005024000,3647,40522.22222,232,3415,1674,1052,1028,1006,477,84,432,60,31.7,917,21182,472,1110,0,24,44,55,89,934,302,68,211,1120,NYC,Bronx,1,0.081436797,0.007329312,295,2,740,297,52,33,11.16166535,0.14156041,0.00062677,0.08840286,1.68397959,3.90240854,54.72995502,2.13428634,13858.35367,0.68458026,44.17517185,7.65916329,0.11143931,24.45504329
36005016900,1361,34025,39,1322,712,372,346,327,265,51,167,94,32.4,125,27019,117,197,0,0,32,0,35,333,113,9,127,485,NYC,Bronx,1,0.078618663,0.003144747,106,1,277,107,32,4,1.32181257,0.20182478,0.00895058,0.13993233,0.70678857,1.83477071,2.70027691,1.11011876,662.8630036,0.77450069,34.43554484,1.71976379,0.02932314,24.20113641
36005029600,1670,5964.286,483,1187,880,297,627,502,185,59,166,56,32.7,420,34475,212,277,0,5,282,41,31,340,223,315,81,166,NYC,Bronx,1,0.077844311,0.021796406,129,1,528,130,15,30,18.20048297,0.61969364,0.0077685,0.36122138,2.87105232,6.00000367,148.1596276,17.9588598,13526.39607,3.4731722,58.94995468,13.8547257,0.36175341,24.58012701
36005028600,1190,17000,508,682,569,262,203,405,295,25,104,54,42.7,130,41012,271,157,0,0,104,20,26,283,157,102,56,175,NYC,Bronx,1,0.076470588,0.005352941,91,0,303,91,20,24,12.85451927,0.15223152,0.01606752,0.11937625,1.01775158,1.902894,49.97927219,3.72478,6148.895513,0.46544039,40.83911775,0.97091113,0.15945237,26.35320092
36005048400,4054,15014.81481,154,3900,2047,879,979,1253,828,115,446,117,39,698,31865,953,850,0,10,126,55,98,1021,482,185,264,269,NYC,Bronx,1,0.074247657,0.020046867,298,3,1058,301,44,30,12.86582975,0.30727477,0.00068512,0.18698895,1.69910662,2.43706365,69.08701531,8.53518905,4866.034792,1.80130562,58.72197873,6.02228349,0.16709701,25.36617632
36005005100,5676,29873.68421,9,5667,3498,1869,1581,1406,617,203,534,213,26.4,710,19797,107,1465,0,0,76,4,236,1281,216,61,294,2621,NYC,Bronx,1,0.073819591,0.014025722,418,1,1630,419,79,50,17.52722972,0.43781157,0.00071678,0.16493844,1.43730982,5.99999915,72.27806052,3.80732906,20266.78011,4.39265781,72.10857532,10.36511812,0.14067608,21.60768653
36005011502,4656,35815.38462,26,4630,2443,1601,1268,1216,430,141,364,207,28.5,1226,19000,284,955,0,0,105,50,193,802,268,43,253,2094,NYC,Bronx,1,0.070661512,0.009185997,325,4,1204,329,57,50,22.60483443,0.34999999,0.00084534,0.17158502,0.7636264,2.00000028,157.0045353,11.63256108,28547.35014,3.86494829,49.18554221,11.21448911,0.2570703,21.38400536
36005039700,3994,19970,2390,1604,2277,363,3008,336,174,113,205,70,20,399,3059,184,537,11,0,315,122,39,399,61,42,153,679,NYC,Bronx,1,0.070355533,0.014071107,279,2,944,281,70,25,14.12589082,0.49141061,0.00074171,0.38307195,1.82749905,2.5200544,113.2097949,43.7821264,7993.966296,0.83154406,31.14487509,12.72661469,0.15269744,24.21138571
36005014300,1085,21700,57,1028,538,284,283,247,235,36,145,16,33.9,315,17417,37,251,0,0,84,10,74,278,51,12,46,451,NYC,Bronx,1,0.069124424,0.003456221,75,0,187,75,16,30,7.62872374,0.2202286,0.00092926,0.1436087,0.93929379,2.00000015,58.31265914,4.37064884,2138.753386,1.3450601,38.55485243,2.70430391,0.10399673,22.35966843
36005007100,2544,25440,42,2502,1468,631,739,644,423,107,241,120,31.4,182,31655,252,780,0,0,48,4,58,639,290,94,179,637,NYC,Bronx,1,0.067216981,0.006721698,171,0,474,171,44,30,16.14381523,0.36000001,2.24E-06,0.1885333,1.35250294,2.00000045,79.41801697,8.55717647,3974.330882,2.18359204,57.9172819,4.01316913,0.2069724,24.16448967
36005009000,3636,9827.027027,99,3537,1928,920,1051,818,626,221,350,99,29.2,271,31010,429,531,0,0,31,0,84,996,201,64,181,1410,NYC,Bronx,1,0.066006601,0.024422442,240,0,1074,240,18,50,12.68189892,0.78333443,0.0004249,0.30295656,1.24295505,2.00000101,47.18758579,2.91288799,14521.17293,6.42435029,70.33617739,6.54782664,0.12541806,20.9734686
36005021700,5213,86883.33333,75,5138,2818,1300,1408,1681,726,98,682,158,34.3,1241,16466,417,1472,0,0,94,108,205,1476,175,111,319,2513,NYC,Bronx,1,0.064646077,0.003878765,336,1,939,337,52,50,23.98919088,0.17364799,9.35E-06,0.12214801,0.48641229,1.57861809,8.12453566,1.20501625,58624.59024,0.70535949,57.85191944,14.05158906,0.44469319,25.14020987
36005021301,1147,38233.33333,49,1098,709,363,253,317,206,8,176,28,33.2,184,21373,107,310,0,0,43,25,77,275,78,33,46,524,NYC,Bronx,1,0.063644289,0.001909329,73,0,225,73,9,50,21.69224686,0.24910092,0.00426022,0.11172089,0.53334393,2.00000165,48.21104447,0.0193145,60439.17371,1.19372805,62.21831517,15.23348862,0.26606151,21.49424369
36005022000,2174,24155.56,21,2153,1022,704,644,608,187,31,153,42,28.4,862,14856,81,679,0,0,64,0,64,480,63,24,222,970,NYC,Bronx,1,0.062097516,0.005588775,135,0,373,135,21,28,7.07794658,0.35998142,0.00590864,0.21366795,1.39631454,3.40259452,19.83245955,0.09889581,11601.39059,0.87039322,37.85857897,4.308843,0.09493467,23.49336706
36005039500,4185,26156.25,54,4131,2334,1402,1039,1150,435,159,503,127,28.8,830,25481,344,884,0,5,58,72,151,904,269,115,249,1571,NYC,Bronx,1,0.061170848,0.009787336,256,0,829,256,53,25,6.93161219,0.77190016,0.0088081,0.46720469,0.97646172,2.00000921,19.93040024,0.98401857,4013.727781,2.97341203,48.13094208,2.93675246,0.10037132,23.38461331
36005009600,2597,9618.518519,175,2422,1347,603,641,595,462,296,231,85,36.7,359,31130,277,473,0,0,77,28,146,698,247,97,207,379,NYC,Bronx,1,0.060069311,0.016218714,155,1,541,156,21,50,20.72356205,0.73709081,0.00403316,0.43321977,1.17479926,2.00000101,63.8634103,9.98562374,18776.8578,3.01894069,61.33498875,6.3408112,0.31270494,20.56255941
36005006500,5609,56090,138,5471,2740,1747,1427,1563,732,140,664,207,30,1214,23165,141,1427,0,0,302,98,113,1675,271,65,256,2521,NYC,Bronx,1,0.059368871,0.005936887,333,0,1102,333,128,25,11.40989158,0.27999996,0.0002148,0.19401546,1.18045525,2.00000107,7.00748242,1.3955163,2117.48275,2.41258019,68.89846174,4.58291318,0.04673061,24.70107506
36005002800,5350,33437.5,38,5312,2891,928,1236,1603,1191,392,751,141,42.7,478,32329,1212,1145,0,0,40,0,141,1733,623,153,330,312,NYC,Bronx,1,0.059065421,0.009450467,314,2,908,316,10,50,22.62322954,0.50936321,0.00030007,0.25106787,0.95040816,2.00000047,133.0505114,15.24460798,36158.22315,3.46543661,58.6710048,12.50590971,0.4081505,23.49838846
36005026900,3751,25006.66667,195,3556,2008,977,1014,1094,533,133,580,197,34.2,553,25632,459,1146,0,12,166,21,312,950,367,107,255,1212,NYC,Bronx,1,0.058917622,0.008837643,218,3,622,221,42,50,28.3421546,0.54287592,0.00455527,0.2882146,0.58598569,2.00000192,66.84169002,2.60527008,62394.96668,3.42721298,65.89201231,17.92665693,0.53818255,22.64615645
36005035600,2317,15446.66667,61,2256,1331,454,502,588,519,254,227,248,41.5,286,28654,497,500,0,0,35,21,104,715,324,105,84,190,NYC,Bronx,1,0.058264998,0.00873975,135,0,358,135,19,37,14.27525749,0.45534738,0.00103724,0.21102863,1.374869,2.6415928,133.9737476,18.89053093,13415.17722,2.25512742,52.9720809,5.04227111,0.05145764,23.50104092
